CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-02-0058-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,LICEO MIXTO SAN JOSÉ,1 CALLE 1-64 ZONA 1,7882-5138,JUAN FRANCISCO GODOY DAVILA,LIGIA MIRTALA BALCÁRCEL SILIÉZAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-02-0067-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO MUNICIPAL DE EDUCACION BÁSICA Y BACHILLERATO POR MADUREZ,CALZADA 15 DE SEPTIEMBRE,5482-6877,JUAN FRANCISCO GODOY DAVILA,MERCEDES DEL PILAR MORALES MENDOZA,DIVERSIFICADO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-02-0072-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,LICEO MIXTO SAN JOSÉ,1ª CALLE 1-64 ZONA 1,7882-5138,JUAN FRANCISCO GODOY DAVILA,LIGIA MIRTALA BALCÁRCEL SILIÉZAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0074-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,CENTRO EDUCATIVO INTEGRAL GLO A MIEL,1ª CALLE 1-95 ZONA 1,4700-6877,JUAN FRANCISCO GODOY DAVILA,ANA MARGARITA TANTI GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0078-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO TECNICO PRIVADO CAMANTULUL,5ª. AVENIDA 4-65 ZONA 1,5493-2388,JUAN FRANCISCO GODOY DAVILA,JULIO ADÁN JERÉZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-02-0080-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO PARTICULAR MIXTO SAGRADO CORAZÓN,"4ª. AVENIDA NORTE 1ª. CALLE ""A"" LOTIFICACIÓN EL BILBAO",7774-6400,JUAN FRANCISCO GODOY DAVILA,MARÍA DOLORES PÉREZ TUCHÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0090-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO PARTICULAR MIXTO SAGRADO CORAZÓN,"4ª. AVENIDA NORTE 1ª. CALLE ""A"" LOTIFICACIÓN EL BILBAO.",7774-6400,JUAN FRANCISCO GODOY DAVILA,MARÍA DOLORES PÉREZ TUCHÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0091-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO PARTICULAR MIXTO SAGRADO CORAZÓN,"4ª. AVENIDA NORTE 1ª. CALLE ""A"" LOTIFICACIÓN EL BILBAO.",7774-6400,JUAN FRANCISCO GODOY DAVILA,MARÍA DOLORES PÉREZ TUCHÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0092-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO PARTICULAR MIXTO SAGRADO CORAZÓN,"4ª. AVENIDA NORTE 1ª. CALLE ""A"" LOTIFICACIÓN EL BILBAO.",7774-6400,JUAN FRANCISCO GODOY DAVILA,MARÍA DOLORES PÉREZ TUCHÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0093-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO PARTICULAR MIXTO SAGRADO CORAZÓN,"4ª. AVENIDA NORTE 1ª. CALLE ""A"" LOTIFICACIÓN EL BILBAO",7774-6400,JUAN FRANCISCO GODOY DAVILA,MARÍA DOLORES PÉREZ TUCHÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0098-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO MADRE TIERRA,KM. 93.8 RUTA CA-2 OCCIDENTE.,4276-1366,JUAN FRANCISCO GODOY DAVILA,MILAGRO DE MARÍA VÁSQUEZ OVALLE,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0108-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,LICEO PREUNIVERSITARIO DEL SUR,4ª. AVENIDA 2-39 ZONA 1,7882-1508,JUAN FRANCISCO GODOY DAVILA,CRISTIAN ALEXANDER PÉREZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO (REGULAR),ESCUINTLA
05-02-0109-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"COLEGIO PARTICULAR MIXTO ""LA ENSEÑANZA""",1ª. CALLE 3-67 ZONA 1,7882-2044,JUAN FRANCISCO GODOY DAVILA,PABLO BENJAMIN MATEO MOREIRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0110-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,LICEO PREUNIVERSITARIO DEL SUR,4ª. AVENIDA 2-39 ZONA 1,7882-1508,JUAN FRANCISCO GODOY DAVILA,CRISTIAN ALEXANDER PÉREZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0113-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO TÉCNICO DE CAPACITACIÓN Y PRODUCTIVIDAD INTECAP,KM. 93 CARRETERA CA2 A MAZATENANGO,7828-0100,JUAN FRANCISCO GODOY DAVILA,BLANCA ROSA ARGUETA GRIJALBA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO (REGULAR),ESCUINTLA
05-02-0118-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO CRISTIANO EMMANUEL,"1ª. CALLE LOTE NO. 10 COLONIA EL BILBAO, ZONA 1",7933-3942,JUAN FRANCISCO GODOY DAVILA,INGRID YANETH OSORIO CAMPOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0125-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,CENTRO EDUCATIVO INTEGRAL GLO A MIEL,1ª CALLE 1-95 ZONA 1,4700-6877,JUAN FRANCISCO GODOY DAVILA,ANA MARGARITA TANTI GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO (REGULAR),ESCUINTLA
05-02-0126-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO DE FORMACIÓN CUALIFICADA,5ª. AVENIDA 4-65 ZONA 1,5708-2235,JUAN FRANCISCO GODOY DAVILA,MILVIA JOHANA GARCÍA ARDÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-02-0129-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"COLEGIO PARTICULAR MIXTO ""LA ENSEÑANZA""",1ª. CALLE 3-67 ZONA 1,7882-2044,JUAN FRANCISCO GODOY DAVILA,PABLO BENJAMIN MATEO MOREIRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO (REGULAR),ESCUINTLA
05-02-0133-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO PARTICULAR MIXTO SAN ANTONIO,5ª. AVENIDA 4-65 ZONA 1,4800-0554,JUAN FRANCISCO GODOY DAVILA,CLAUDIA MARITZA MENDOZA ROMPICH,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0134-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO PARTICULAR MIXTO SAN ANTONIO,5ª. AVENIDA 4-65 ZONA 1,4800-0554,JUAN FRANCISCO GODOY DAVILA,CLAUDIA MARITZA MENDOZA ROMPICH,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0135-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO PARTICULAR MIXTO SAN ANTONIO,5ª. AVENIDA 4-65 ZONA 1,4800-0554,JUAN FRANCISCO GODOY DAVILA,CLAUDIA MARITZA MENDOZA ROMPICH,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO (REGULAR),ESCUINTLA
05-02-0137-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO MUNICIPAL DE EDUCACIÓN MEDIA,CAMINO A SAN FELIPE ALDEA MIRIAM I,5917-2538,JUAN FRANCISCO GODOY DAVILA,ELSA YANET ROLDÁN CALÁN,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0141-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,CENTRO EDUCATIVO LUCIANO CAMPO REAL,5ª AVENIDA 4-65 ZONA 1,5502-5058,JUAN FRANCISCO GODOY DAVILA,WENDI AZUCENA ABAC BETHANCOURT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0142-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,CENTRO EDUCATIVO LUCIANO CAMPO REAL,5ª AVENIDA 4-65 ZONA 1,5502-5058,JUAN FRANCISCO GODOY DAVILA,WENDI AZUCENA ABAC BETHANCOURT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0143-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,CENTRO EDUCATIVO LUCIANO CAMPO REAL,5ª AVENIDA 4-65 ZONA 1,5502-5058,JUAN FRANCISCO GODOY DAVILA,WENDI AZUCENA ABAC BETHANCOURT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO (REGULAR),ESCUINTLA
05-02-0145-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO MIXTO BELÉN,5ª AVENIDA 4-65 ZONA 1,5360-1095,JUAN FRANCISCO GODOY DAVILA,KEILA JUDITH PAIZ HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-02-0217-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"INSTITUTO PARTICULAR MIXTO ""ISTMANIA""",4ª. AVENIDA . 5-55 ZONA 1,7882-5876,JUAN FRANCISCO GODOY DAVILA,ANA GISELA MAYORGA DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0220-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"""COLEGIO MIXTO COTZUMALGUAPA""",CALZADA 15 DE SEPTIEMBRE 5-250 SANTA LUCIA COTZUMALGUAPA,7882-6459,JUAN FRANCISCO GODOY DAVILA,MIRNA RUTILIA ALVAREZ BOJORQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0228-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"ESCUELA NACIONAL DE CIENCIAS COMERCIALES ADSCRITA AL INEB ""MARIA JOSEFA ROSADO LARA""",5ª. CALLE 5-251 ZONA 1 CALZADA 15 DE SEPTIEMBRE,7882-2757,JUAN FRANCISCO GODOY DAVILA,JOSÉ DAVID RIVERA FRANCISCO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0232-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO TECNOLOGICO PROESUR,KM. 92.5 FINCA CAMANTULUL,7955-2800,JUAN FRANCISCO GODOY DAVILA,PEDRO PABLO CRUZ ESPINOZA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0235-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO TECNICO PRIVADO CAMANTULUL,5ª. AVENIDA 4-65 ZONA 1,5493-2388,JUAN FRANCISCO GODOY DAVILA,JULIO ADÁN JERÉZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ESCUINTLA
05-02-0237-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO CRISTIANO EMMANUEL,"1ª. CALLE. LOTE NO. 10, COLONIA EL BILBAO, ZONA 1.",7933-3942,JUAN FRANCISCO GODOY DAVILA,INGRID YANETH OSORIO CAMPOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ESCUINTLA
05-02-0238-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO CRISTIANO EMMANUEL,1ª CALLE LOTE 10 COLONIA EL BILBAO ZONA 1.,7933-3942,JUAN FRANCISCO GODOY DAVILA,INGRID YANETH OSORIO CAMPOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0239-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO CRISTIANO EMMANUEL,1ª CALLE LOTE 10 COLONIA EL BILBAO ZONA 1.,7933-3942,JUAN FRANCISCO GODOY DAVILA,INGRID YANETH OSORIO CAMPOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0240-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO MIXTO BELÉN,5ª. AVENIDA 4-65 ZONA 1,5360-1095,JUAN FRANCISCO GODOY DAVILA,KEILA JUDITH PAIZ HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ESCUINTLA
05-02-0241-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,LICEO PREUNIVERSITARIO DEL SUR,4ª AVENIDA 2-39 ZONA 1,7882-1508,JUAN FRANCISCO GODOY DAVILA,CRISTIAN ALEXANDER PÉREZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0242-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,LICEO PREUNIVERSITARIO DEL SUR,4ª AVENIDA 2-39 ZONA 1,7882-1508,JUAN FRANCISCO GODOY DAVILA,CRISTIAN ALEXANDER PÉREZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0244-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,LICEO PREUNIVERSITARIO DEL SUR,4ª. AVENIDA 2-39 ZONA 1,7882-1508,JUAN FRANCISCO GODOY DAVILA,CRISTIAN ALEXANDER PÉREZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA
05-02-0248-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO MIXTO EVANGÉLICO SALEM,CALLEJÓN SAZO NO. 37 ALDEA EL TRANSITO SECTOR 2 ALDEA EL TRANSITO SECTOR 2,3250-2747,JUAN FRANCISCO GODOY DAVILA,DIANA GUADALUPE TUN ARENAS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0251-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,LICEO MIXTO SAN JOSÉ,1ª CALLE 1-64 ZONA 1,7882-5138,JUAN FRANCISCO GODOY DAVILA,LIGIA MIRTALA BALCÁRCEL SILIÉZAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ESCUINTLA
05-02-0253-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO PARTICULAR MIXTO SAGRADO CORAZÓN,"4ª. AVENIDA NORTE 1ª CALLE ""A"" LOTIFICACIÓN EL BILBAO.",7774-6400,JUAN FRANCISCO GODOY DAVILA,MARÍA DOLORES PÉREZ TUCHÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA
05-02-0255-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO MUNICIPAL DE EDUCACIÓN BÁSICA Y BACHILLERATO POR MADUREZ,5ª. CALLE 2-55 CALZADA 15 DE SEPTIEMBRE INTERIOR DEL INSTITUTO NACIONAL MARÍA JOSEFA ROSADO LARA,5482-6877,JUAN FRANCISCO GODOY DAVILA,MERCEDES DEL PILAR MORALES MENDOZA,DIVERSIFICADO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA
05-02-0257-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO PRIVADO MIXTO DE COMPUTACIÓN INFORMÁTICA,KM. 87.5 CARRETERA CA-2 AL PACÍFICO.,4209-8958,JUAN FRANCISCO GODOY DAVILA,JULIETA CORDERO SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA
05-02-0259-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,CENTRO EDUCATIVO INTEGRAL GLO A MIEL,1ª CALLE 1-95 ZONA 1,4700-6877,JUAN FRANCISCO GODOY DAVILA,ANA MARGARITA TANTI GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ESCUINTLA
05-02-0264-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"COLEGIO MIXTO ""EL SABER""",3ª AVENIDA 0-113 ZONA 1,4712-7394,JUAN FRANCISCO GODOY DAVILA,JOSÉ DAVID RIVERA FRANCISCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0265-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO TECNOLÓGICO PROESUR,KM. 92.5 CARRETERA A MAZATENANGO,7955-2800,JUAN FRANCISCO GODOY DAVILA,PEDRO PABLO CRUZ ESPINOZA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0267-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO ITALIANO,2ª. AVENIDA 1-60 ZONA 1,7882-6255,JUAN FRANCISCO GODOY DAVILA,YESSICA MARIBEL MORATAYA ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0271-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO REAL ESPAÑA LUCIANO,KM. 3 CARRETERA A SAN PEDRO YEPOCAPA,5413-8665,JUAN FRANCISCO GODOY DAVILA,MARITZA SILVA ALMIRA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0272-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO DE FORMACIÓN CUALIFICADA,5ª. AVENIDA 4-65 ZONA 1,7882-6255,JUAN FRANCISCO GODOY DAVILA,MILVIA JOHANA GARCÍA ARDÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA
05-02-0273-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO EVANGÉLICO CENTROAMERICANO BETHEL,2ª AVENIDA Y 6ª CALLE A 2-55 ZONA 1,7882-2539,JUAN FRANCISCO GODOY DAVILA,ELISA MICHELLE ALVAREZ ZAMORA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0274-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO EVANGÉLICO CENTROAMERICANO BETHEL,2ª AVENIDA Y 6ª CALLE A 2-55 ZONA 1,7882-2539,JUAN FRANCISCO GODOY DAVILA,ELISA MICHELLE ALVAREZ ZAMORA DE RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA
05-02-0275-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO MUNICIPAL DE EDUCACIÓN BÁSICA,KM. 98 CARRETERA A MAZATENANGO ALDEA XAYÁ,4524-1789,JUAN FRANCISCO GODOY DAVILA,ALBIN MAXIMINO MARTINEZ VELASQUEZ,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-02-0276-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO MUNICIPAL DE EDUCACIÓN BÁSICA,CENTRO URBANO EL CAJÓN SECTOR LA 40 CALLE LA ARABELA,5559-6556,JUAN FRANCISCO GODOY DAVILA,CELESTE JULISSA GUAJACA AJVIX,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-0785-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO PRIVADO MIXTO DE COMPUTACIÓN INFORMÁTICA,KM. 87.5 CARRETERA CA-2 AL PACIFICO.,7882-2518,JUAN FRANCISCO GODOY DAVILA,JULIETA CORDERO SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-1878-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,"""COLEGIO MIXTO COTZUMALGUAPA""",CALZADA 15 DE SEPTIEMBRE 5-250,7882-6459,JUAN FRANCISCO GODOY DAVILA,MIRNA RUTILIA ALVAREZ BOJORQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-1922-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,CENTRO EDUCATIVO INGENIO LA UNION,KM. 98.8 CARRETERA A INGENIO LOS TARROS FINCA LOS TARROS,7740-1593,JUAN FRANCISCO GODOY DAVILA,EDUARDO NOÉ ESTRADA SANTIZO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),ESCUINTLA
05-02-1969-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO COSTASUR,CAMINO A VISTA LINDA CONTIGUO AL HIPÓDROMO MUNICIPAL 0-1,7882-1541,JUAN FRANCISCO GODOY DAVILA,LUIS ALBERTO FIGUEROA ALVAREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-2044-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,LICEO PREUNIVERSITARIO DEL SUR,4ª. AVENIDA 2-39 ZONA 1,7882-1508,JUAN FRANCISCO GODOY DAVILA,CRISTIAN ALEXANDER PÉREZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-02-2402-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO PARTICULAR MIXTO SAGRADO CORAZÓN,"4ª. AVENIDA NORTE 1ª. CALLE ""A"" LOTIFICACIÓN EL BILBAO",7774-6400,JUAN FRANCISCO GODOY DAVILA,MARÍA DOLORES PÉREZ TUCHÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),ESCUINTLA
05-02-2555-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,COLEGIO PARTICULAR MIXTO SAGRADO CORAZÓN,"4ª. AVENIDA NORTE 1ª. CALLE ""A"" LOTIFICACIÓN EL BILBAO",7774-6400,JUAN FRANCISCO GODOY DAVILA,MARÍA DOLORES PÉREZ TUCHÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-02-2556-46,05-007,ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,INSTITUTO PRIVADO MIXTO DE COMPUTACIÓN INFORMÁTICA,KM. 87.5 CARRETERA CA-2 AL PACIFICO.,7882-2518,JUAN FRANCISCO GODOY DAVILA,JULIETA CORDERO SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
